일련번호,상품명,중량, 판매가 ,소재,규격,구성,상품정보고시
68,인류문명과 농장동물 시리즈 1차_생동하는 닭_금도금 은메달,80,275000,은 (Ag999),31x41mm,"메달, 보증서, 케이스","소재:은 (Ag999)크기:31x41mm무게:80g구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
69,별자리 펜던트 메달_물고기자리(양력생일 02.19~03.20),4.65,748000,Au 999 3.75g / Au 585 0.9g,,"메달, 케이스, 보증서","소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 3.75g / 베젤  0.9g구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
70,별자리 펜던트 메달_황소자리(양력생일 04.20~05.20),4.65,748000,,,없음,"소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
71,한반도 공룡 시리즈 2차 해남이크누스_동메달,26,49500,백동 Cu75+Ni25,40mm,"메달, 케이스, 보증서","소재:백동 Cu75+Ni25크기:40mm무게:26g구성:메달, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
72,한반도 공룡 시리즈 1차 코리아노사우루스 보성엔시스 기념 동메달,26,49500,"Cu75, Ni25",40mm,"메달, 케이스, 보증서","소재:백동 Cu75, Ni25크기:40mm무게:26g구성:메달, 케이스, 보증서보증서:Smart jungle 위변조 방지기술로 만든 카드형 보증서 적용품질보증:한국조폐공사, 교환 및 A/S는 수령후 1주일 이내에 콜센터(1577-4321)로 요청하여 주시기 바랍니다.상품문의:1577-4321"
73,천사의 재능 십이지 메달 12종(호랑이) ,4.65,748000,메달 Au 999/ 베젤 Au585,메달17mm/ 베젤 19mm,"메달, 베젤, 케이스, 보증서 ","소재:메달 Au 999/ 베젤 Au585크기:메달17mm/ 베젤 19mm 무게:4.65g(이상)구성:메달(줄제외), 베젤, 케이스, 보증서보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
74,별자리 펜던트 메달_염소자리(양력생일 12.25~01.19),4.65,748000,,,없음,"소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
75,별자리 펜던트 메달_물병자리(양력생일 01.20~02.18),4.65,748000,Au 999 3.75g / Au 585 0.9g,19mm,"메달, 케이스, 보증서","소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
76,별자리 펜던트 메달_쌍둥이 자리(양력생일 05.21~06.21),4.65,748000,Au 999 3.75g / Au 585 0.9g,19mm,"메달, 케이스, 보증서","소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g 크기:베젤크기 19mm 메달크기 17mm 무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g 구성:메달, 보증서, 케이스 보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
77,별자리 펜던트 메달_게자리(양력생일 06.22~07.22),4.65,748000,메달 Au 999 3.75g / 베젤 Au 585 0.9g,19mm,"메달, 케이스, 보증서","소재:메달 Au 999 3.75g / 베젤 Au 585 0.9g크기:베젤크기 19mm 메달크기 17mm 무게:메달 Au 999 3.75g / 베젤 Au 585 0.9g구성:메달, 보증서, 케이스보증서:품질을 보증하는 보증서 제공품질보증:한국조폐공사상품문의:1577-4321"
